,pant name,ratings,price,discount
0,"
                                        Greenish Grey Straight Fit Men's Jeans
                                       ","<span class=""star-rating-system d-inline-block"">
<span class=""rating-5""></span>
</span>",<strong>₹2299</strong>,"<span class=""product-offers-new"">54% OFF</span>"
1,"
                                        Grey Wide Leg Men's Ultra Fashion Jeans
                                       ","<span class=""star-rating-system d-inline-block"">
<span class=""rating-5""></span>
</span>",<strong>₹2449</strong>,"<span class=""product-offers-new"">51% OFF</span>"
2,"
                                        Blue Wide Leg Men's Ultra Fashion Jeans
                                       ","<span class=""star-rating-system d-inline-block"">
<span class=""rating-5""></span>
</span>",<strong>₹2799</strong>,"<span class=""product-offers-new"">44% OFF</span>"
3,"
                                        Black Straight Fit Raw Wash Men's Fashion Jeans
                                       ","<span class=""star-rating-system d-inline-block"">
<span class=""rating-5""></span>
</span>",<strong>₹2099</strong>,"<span class=""product-offers-new"">48% OFF</span>"
4,"
                                        Blue and Black Two Tone Wide Leg Men's Fashion Jeans
                                       ","<span class=""star-rating-system d-inline-block"">
<span class=""rating-5""></span>
</span>",<strong>₹2299</strong>,"<span class=""product-offers-new"">54% OFF</span>"
5,"
                                        Green Wide Leg Men's Fashion Jeans
                                       ","<span class=""star-rating-system d-inline-block"">
<span class=""rating-4""></span>
</span>",<strong>₹2099</strong>,"<span class=""product-offers-new"">48% OFF</span>"
6,"
                                        Midnight Black Straight Fit Men's Fashion Jeans
                                       ","<span class=""star-rating-system d-inline-block"">
<span class=""rating-4""></span>
</span>",<strong>₹2099</strong>,"<span class=""product-offers-new"">40% OFF</span>"
7,"
                                        Black Straight Fit Men's Fashion Jeans
                                       ","<span class=""star-rating-system d-inline-block"">
<span class=""rating-5""></span>
</span>",<strong>₹2099</strong>,"<span class=""product-offers-new"">40% OFF</span>"
8,"
                                        Light Blue Wide Leg Men's Fashion Jeans
                                       ","<span class=""star-rating-system d-inline-block"">
<span class=""rating-5""></span>
</span>",<strong>₹2099</strong>,"<span class=""product-offers-new"">58% OFF</span>"
9,"
                                        Beaver Brown Wide Leg Men's Fashion Jeans
                                       ","<span class=""star-rating-system d-inline-block"">
<span class=""rating-5""></span>
</span>",<strong>₹2199</strong>,"<span class=""product-offers-new"">45% OFF</span>"
10,"
                                        Black Straight Fit Cut and Sew Men's Fashion Jeans
                                       ","<span class=""star-rating-system d-inline-block"">
<span class=""rating-5""></span>
</span>",<strong>₹2099</strong>,"<span class=""product-offers-new"">40% OFF</span>"
11,"
                                        Purplish Blue Men's Wide Leg Fashion Jeans
                                       ","<span class=""star-rating-system d-inline-block"">
<span class=""rating-5""></span>
</span>",<strong>₹2099</strong>,"<span class=""product-offers-new"">58% OFF</span>"
12,"
                                        Rhysley Tinted Blue Comfort Fit Men's Fashion Jeans
                                       ","<span class=""star-rating-system d-inline-block"">
<span class=""rating-5""></span>
</span>",<strong>₹1699</strong>,"<span class=""product-offers-new"">59% OFF</span>"
13,"
                                        Cool Blue Men's Slim Fit Jeans
                                       ","<span class=""star-rating-system d-inline-block"">
<span class=""rating-5""></span>
</span>",<strong>₹1999</strong>,"<span class=""product-offers-new"">50% OFF</span>"
14,"
                                        Black Wide Leg Men's Fashion Jeans
                                       ","<span class=""star-rating-system d-inline-block"">
<span class=""rating-5""></span>
</span>",<strong>₹2099</strong>,"<span class=""product-offers-new"">58% OFF</span>"
15,"
                                        Black Slim Fit Cut and Sew Stretchable Men's Jeans
                                       ","<span class=""star-rating-system d-inline-block"">
<span class=""rating-5""></span>
</span>",<strong>₹2299</strong>,"<span class=""product-offers-new"">34% OFF</span>"
16,"
                                        Blue Wide Leg Cargo Style Drawstring Waist Men's Jeans
                                       ","<span class=""star-rating-system d-inline-block"">
<span class=""rating-5""></span>
</span>",<strong>₹1999</strong>,"<span class=""product-offers-new"">43% OFF</span>"
17,"
                                        Rust Blue Slim Fit Men's Jeans
                                       ","<span class=""star-rating-system d-inline-block"">
<span class=""rating-5""></span>
</span>",<strong>₹2199</strong>,"<span class=""product-offers-new"">37% OFF</span>"
